fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,units_from_shipment_data
BFL1,DPS1,90031,dim1,2021-05-12 23:59:59,3.09,not_defined,0,"['r92', 'r373', 'r5252']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,90032,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r47', 'r92', 'r374', 'r4053', 'r5253']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90032,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r92', 'r374', 'r5253']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,90033,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r47', 'r92', 'r375', 'r4054', 'r5254']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90033,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r92', 'r375', 'r5254']",2,2021-05-11 05:00:00,2.0
BFL1,DPS1,90039,dim1,2021-05-12 23:59:59,3.06,not_defined,0,"['r47', 'r92', 'r376', 'r4055', 'r5255']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90039,dim1,2021-05-12 23:59:59,3.06,not_defined,0,"['r92', 'r376', 'r5255']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,90041,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r47', 'r92', 'r377', 'r4056', 'r5256']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90041,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r92', 'r377', 'r5256']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,90042,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r47', 'r92', 'r378', 'r4057', 'r5257']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,90042,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r92', 'r378', 'r5257']",7,2021-05-11 05:00:00,7.0
BFL1,DPS1,90057,dim1,2021-05-12 23:59:59,3.09,not_defined,0,"['r47', 'r92', 'r379', 'r4058', 'r5258']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90057,dim1,2021-05-12 23:59:59,3.09,not_defined,0,"['r92', 'r379', 'r5258']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,90063,dim1,2021-05-12 23:59:59,3.12,not_defined,0,"['r47', 'r92', 'r380', 'r4059', 'r5259']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90063,dim1,2021-05-12 23:59:59,3.12,not_defined,0,"['r92', 'r380', 'r5259']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,90065,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r47', 'r92', 'r381', 'r4060', 'r5260']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,90065,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r92', 'r381', 'r5260']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,90068,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r47', 'r92', 'r382', 'r4061', 'r5261']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,90068,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r92', 'r382', 'r5261']",0,2021-05-11 05:00:00,0.0
BFL1,DPS3,90265,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r444', 'r6072', 'r6387']",2,2021-05-11 00:00:00,2.0
BFL1,DPS3,90265,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r2', 'r15', 'r91', 'r444', 'r6387']",3,2021-05-11 05:00:00,3.0
BFL1,DPS3,90265,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r15', 'r91', 'r444', 'r6387']",5,2021-05-11 12:00:00,5.0
BFL1,DPS3,90290,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r445', 'r6073', 'r6388']",1,2021-05-11 00:00:00,1.0
BFL1,DPS3,90290,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r2', 'r15', 'r91', 'r445', 'r6388']",1,2021-05-11 05:00:00,1.0
BFL1,DPS3,90290,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r15', 'r91', 'r445', 'r6388']",2,2021-05-11 12:00:00,2.0
BFL1,DPS1,90601,dim1,2021-05-12 23:59:59,3.18,not_defined,0,"['r47', 'r92', 'r383', 'r4062', 'r5262']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90601,dim1,2021-05-12 23:59:59,3.18,not_defined,0,"['r92', 'r383', 'r5262']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,90604,dim1,2021-05-12 23:59:59,3.23,not_defined,0,"['r47', 'r92', 'r386', 'r4065', 'r5265']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,90604,dim1,2021-05-12 23:59:59,3.23,not_defined,0,"['r92', 'r386', 'r5265']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,90605,dim1,2021-05-12 23:59:59,3.22,not_defined,0,"['r47', 'r92', 'r387', 'r4066', 'r5266']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,90605,dim1,2021-05-12 23:59:59,3.22,not_defined,0,"['r92', 'r387', 'r5266']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,90640,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r47', 'r92', 'r388', 'r4067', 'r5267']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,90640,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r92', 'r388', 'r5267']",7,2021-05-11 05:00:00,7.0
BFL1,DPS1,91001,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r47', 'r92', 'r389', 'r4068', 'r5268']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91001,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r92', 'r389', 'r5268']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,91006,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r47', 'r92', 'r390', 'r4069', 'r5269']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91006,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r92', 'r390', 'r5269']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,91007,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r47', 'r92', 'r391', 'r4070', 'r5270']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91007,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r92', 'r391', 'r5270']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,91008,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r47', 'r92', 'r392', 'r4071', 'r5271']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91008,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r92', 'r392', 'r5271']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91010,dim1,2021-05-12 23:59:59,3.12,not_defined,0,"['r47', 'r92', 'r393', 'r4072', 'r5272']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91010,dim1,2021-05-12 23:59:59,3.12,not_defined,0,"['r92', 'r393', 'r5272']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91011,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r47', 'r92', 'r394', 'r4073', 'r5273']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91011,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r92', 'r394', 'r5273']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,91016,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r47', 'r92', 'r395', 'r4074', 'r5274']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91016,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r92', 'r395', 'r5274']",9,2021-05-11 05:00:00,9.0
BFL1,DPS1,91020,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r47', 'r92', 'r396', 'r4075', 'r5275']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91020,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r92', 'r396', 'r5275']",2,2021-05-11 05:00:00,2.0
BFL1,DPS1,91024,dim1,2021-05-12 23:59:59,3.08,not_defined,0,"['r47', 'r92', 'r397', 'r4076', 'r5276']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91024,dim1,2021-05-12 23:59:59,3.08,not_defined,0,"['r92', 'r397', 'r5276']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91030,dim1,2021-05-12 23:59:59,3.08,not_defined,0,"['r47', 'r92', 'r398', 'r4077', 'r5277']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91030,dim1,2021-05-12 23:59:59,3.08,not_defined,0,"['r92', 'r398', 'r5277']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,91101,dim1,2021-05-12 23:59:59,3.06,not_defined,0,"['r47', 'r92', 'r399', 'r4078', 'r5278']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91101,dim1,2021-05-12 23:59:59,3.06,not_defined,0,"['r92', 'r399', 'r5278']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,91103,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r47', 'r92', 'r400', 'r4079', 'r5279']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91103,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r92', 'r400', 'r5279']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91104,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r47', 'r92', 'r401', 'r4080', 'r5280']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91104,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r92', 'r401', 'r5280']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,91105,dim1,2021-05-12 23:59:59,3.06,not_defined,0,"['r47', 'r92', 'r402', 'r4081', 'r5281']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91105,dim1,2021-05-12 23:59:59,3.06,not_defined,0,"['r92', 'r402', 'r5281']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,91106,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r47', 'r92', 'r403', 'r4082', 'r5282']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91106,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r92', 'r403', 'r5282']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,91107,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r47', 'r92', 'r404', 'r4083', 'r5283']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91107,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r92', 'r404', 'r5283']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,91108,dim1,2021-05-12 23:59:59,3.09,not_defined,0,"['r47', 'r92', 'r405', 'r4084', 'r5284']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91108,dim1,2021-05-12 23:59:59,3.09,not_defined,0,"['r92', 'r405', 'r5284']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91201,dim1,2021-05-12 23:59:59,3.02,not_defined,0,"['r47', 'r92', 'r406', 'r4085', 'r5285']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91201,dim1,2021-05-12 23:59:59,3.02,not_defined,0,"['r92', 'r406', 'r5285']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91202,dim1,2021-05-12 23:59:59,3.02,not_defined,0,"['r47', 'r92', 'r407', 'r4086', 'r5286']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91202,dim1,2021-05-12 23:59:59,3.02,not_defined,0,"['r92', 'r407', 'r5286']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,91203,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r47', 'r92', 'r408', 'r4087', 'r5287']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91203,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r92', 'r408', 'r5287']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91204,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r47', 'r92', 'r409', 'r4088', 'r5288']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91204,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r92', 'r409', 'r5288']",2,2021-05-11 05:00:00,2.0
BFL1,DPS1,91205,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r47', 'r92', 'r410', 'r4089', 'r5289']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91205,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r92', 'r410', 'r5289']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91206,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r47', 'r92', 'r411', 'r4090', 'r5290']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91206,dim1,2021-05-12 23:59:59,3.04,not_defined,0,"['r92', 'r411', 'r5290']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,91207,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r47', 'r92', 'r412', 'r4091', 'r5291']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91207,dim1,2021-05-12 23:59:59,3.03,not_defined,0,"['r92', 'r412', 'r5291']",2,2021-05-11 05:00:00,2.0
BFL1,DPS1,91208,dim1,2021-05-12 23:59:59,3.02,not_defined,0,"['r47', 'r92', 'r413', 'r4092', 'r5292']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91208,dim1,2021-05-12 23:59:59,3.02,not_defined,0,"['r92', 'r413', 'r5292']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,91210,dim1,2021-05-12 23:59:59,3.27,not_defined,0,"['r47', 'r92', 'r414', 'r4093', 'r5293']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91210,dim1,2021-05-12 23:59:59,3.27,not_defined,0,"['r92', 'r414', 'r5293']",0,2021-05-11 05:00:00,0.0
BFL1,DPS3,91301,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r446', 'r6074', 'r6389']",4,2021-05-11 00:00:00,4.0
BFL1,DPS3,91301,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r2', 'r15', 'r91', 'r446', 'r6389']",5,2021-05-11 05:00:00,5.0
BFL1,DPS3,91301,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r15', 'r91', 'r446', 'r6389']",8,2021-05-11 12:00:00,8.0
BFL1,DPS3,91302,dim1,2021-05-12 23:59:59,2.98,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r447', 'r6075', 'r6390']",4,2021-05-11 00:00:00,4.0
BFL1,DPS3,91302,dim1,2021-05-12 23:59:59,2.98,not_defined,0,"['r2', 'r15', 'r91', 'r447', 'r6390']",5,2021-05-11 05:00:00,5.0
BFL1,DPS3,91302,dim1,2021-05-12 23:59:59,2.98,not_defined,0,"['r15', 'r91', 'r447', 'r6390']",9,2021-05-11 12:00:00,9.0
BFL1,DPS3,91307,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r448', 'r6076', 'r6391']",2,2021-05-11 00:00:00,2.0
BFL1,DPS3,91307,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r2', 'r15', 'r91', 'r448', 'r6391']",4,2021-05-11 05:00:00,4.0
BFL1,DPS3,91307,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r15', 'r91', 'r448', 'r6391']",6,2021-05-11 12:00:00,6.0
BFL1,DPS3,91320,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r449', 'r6077', 'r6392']",4,2021-05-11 00:00:00,4.0
BFL1,DPS3,91320,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r2', 'r15', 'r91', 'r449', 'r6392']",6,2021-05-11 05:00:00,6.0
BFL1,DPS3,91320,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r15', 'r91', 'r449', 'r6392']",10,2021-05-11 12:00:00,10.0
BFL1,DPS3,91356,dim1,2021-05-12 23:59:59,2.98,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r450', 'r6078', 'r6393']",3,2021-05-11 00:00:00,3.0
BFL1,DPS3,91356,dim1,2021-05-12 23:59:59,2.98,not_defined,0,"['r2', 'r15', 'r91', 'r450', 'r6393']",5,2021-05-11 05:00:00,5.0
BFL1,DPS3,91356,dim1,2021-05-12 23:59:59,2.98,not_defined,0,"['r15', 'r91', 'r450', 'r6393']",8,2021-05-11 12:00:00,8.0
BFL1,DPS3,91361,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r452', 'r6080', 'r6395']",2,2021-05-11 00:00:00,2.0
BFL1,DPS3,91361,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r2', 'r15', 'r91', 'r452', 'r6395']",4,2021-05-11 05:00:00,4.0
BFL1,DPS3,91361,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r15', 'r91', 'r452', 'r6395']",6,2021-05-11 12:00:00,6.0
BFL1,DPS3,91362,dim1,2021-05-12 23:59:59,2.93,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r453', 'r6081', 'r6396']",4,2021-05-11 00:00:00,4.0
BFL1,DPS3,91362,dim1,2021-05-12 23:59:59,2.93,not_defined,0,"['r2', 'r15', 'r91', 'r453', 'r6396']",6,2021-05-11 05:00:00,6.0
BFL1,DPS3,91362,dim1,2021-05-12 23:59:59,2.93,not_defined,0,"['r15', 'r91', 'r453', 'r6396']",10,2021-05-11 12:00:00,10.0
BFL1,DPS3,91364,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r454', 'r6082', 'r6397']",3,2021-05-11 00:00:00,3.0
BFL1,DPS3,91364,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r2', 'r15', 'r91', 'r454', 'r6397']",5,2021-05-11 05:00:00,5.0
BFL1,DPS3,91364,dim1,2021-05-12 23:59:59,2.97,not_defined,0,"['r15', 'r91', 'r454', 'r6397']",8,2021-05-11 12:00:00,8.0
BFL1,DPS3,91367,dim1,2021-05-12 23:59:59,2.96,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r455', 'r6083', 'r6398']",4,2021-05-11 00:00:00,4.0
BFL1,DPS3,91367,dim1,2021-05-12 23:59:59,2.96,not_defined,0,"['r2', 'r15', 'r91', 'r455', 'r6398']",6,2021-05-11 05:00:00,6.0
BFL1,DPS3,91367,dim1,2021-05-12 23:59:59,2.96,not_defined,0,"['r15', 'r91', 'r455', 'r6398']",10,2021-05-11 12:00:00,10.0
BFL1,DPS3,91377,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r2', 'r15', 'r46', 'r91', 'r456', 'r6084', 'r6399']",2,2021-05-11 00:00:00,2.0
BFL1,DPS3,91377,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r2', 'r15', 'r91', 'r456', 'r6399']",2,2021-05-11 05:00:00,2.0
BFL1,DPS3,91377,dim1,2021-05-12 23:59:59,2.94,not_defined,0,"['r15', 'r91', 'r456', 'r6399']",4,2021-05-11 12:00:00,4.0
BFL1,DPS1,91423,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r47', 'r92', 'r415', 'r4094', 'r5294']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91423,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r92', 'r415', 'r5294']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91501,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r47', 'r92', 'r416', 'r4095', 'r5295']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91501,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r92', 'r416', 'r5295']",1,2021-05-11 05:00:00,1.0
BFL1,DPS1,91502,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r47', 'r92', 'r417', 'r4096', 'r5296']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91502,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r92', 'r417', 'r5296']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91505,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r47', 'r92', 'r418', 'r4097', 'r5297']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91505,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r92', 'r418', 'r5297']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91506,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r47', 'r92', 'r419', 'r4098', 'r5298']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91506,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r92', 'r419', 'r5298']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91601,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r47', 'r92', 'r420', 'r4099', 'r5299']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91601,dim1,2021-05-12 23:59:59,3.0,not_defined,0,"['r92', 'r420', 'r5299']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91602,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r47', 'r92', 'r421', 'r4100', 'r5300']",0,2021-05-11 00:00:00,0.0
BFL1,DPS1,91602,dim1,2021-05-12 23:59:59,3.01,not_defined,0,"['r92', 'r421', 'r5300']",0,2021-05-11 05:00:00,0.0
BFL1,DPS1,91702,dim1,2021-05-12 23:59:59,3.14,not_defined,0,"['r47', 'r92', 'r426', 'r4105', 'r5305']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91702,dim1,2021-05-12 23:59:59,3.14,not_defined,0,"['r92', 'r426', 'r5305']",10,2021-05-11 05:00:00,10.0
BFL1,DPS1,91706,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r47', 'r92', 'r427', 'r4106', 'r5306']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,91706,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r92', 'r427', 'r5306']",9,2021-05-11 05:00:00,9.0
BFL1,DPS1,91722,dim1,2021-05-12 23:59:59,3.16,not_defined,0,"['r47', 'r92', 'r428', 'r4107', 'r5307']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91722,dim1,2021-05-12 23:59:59,3.16,not_defined,0,"['r92', 'r428', 'r5307']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,91723,dim1,2021-05-12 23:59:59,3.17,not_defined,0,"['r47', 'r92', 'r429', 'r4108', 'r5308']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91723,dim1,2021-05-12 23:59:59,3.17,not_defined,0,"['r92', 'r429', 'r5308']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,91731,dim1,2021-05-12 23:59:59,3.13,not_defined,0,"['r47', 'r92', 'r430', 'r4109', 'r5309']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91731,dim1,2021-05-12 23:59:59,3.13,not_defined,0,"['r92', 'r430', 'r5309']",2,2021-05-11 05:00:00,2.0
BFL1,DPS1,91732,dim1,2021-05-12 23:59:59,3.14,not_defined,0,"['r47', 'r92', 'r431', 'r4110', 'r5310']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91732,dim1,2021-05-12 23:59:59,3.14,not_defined,0,"['r92', 'r431', 'r5310']",6,2021-05-11 05:00:00,6.0
BFL1,DPS1,91733,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r47', 'r92', 'r432', 'r4111', 'r5311']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91733,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r92', 'r432', 'r5311']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,91741,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r47', 'r92', 'r433', 'r4112', 'r5312']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,91741,dim1,2021-05-12 23:59:59,3.15,not_defined,0,"['r92', 'r433', 'r5312']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,91754,dim1,2021-05-12 23:59:59,3.13,not_defined,0,"['r47', 'r92', 'r435', 'r4114', 'r5314']",1,2021-05-11 00:00:00,1.0
