fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route
LGB3,DLA5,92346,dim1,2021-05-11 00:08:36,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r847', 'r2702', 'r2952']",
LGB3,DSD1,92130,dim1,2021-05-11 00:08:46,2021-05-12 23:59:59,"['r0', 'r13', 'r997', 'r6793', 'r7093']",
FAT1,DPS1,90065,dim1,2021-05-11 00:09:05,2021-05-12 23:59:59,"['r62', 'r110', 'r549', 'r4460', 'r5740']",
LGB3,DSD1,92129,dim1,2021-05-11 00:09:18,2021-05-12 23:59:59,"['r0', 'r13', 'r996', 'r6792', 'r7092']",
FAT1,DLA5,92324,dim1,2021-05-11 00:09:48,2021-05-12 23:59:59,"['r60', 'r108', 'r510', 'r2876', 'r3276']",
LGB7,DLA5,92373,dim1,2021-05-11 00:10:08,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1186', 'r2530', 'r2830', 'r3055', 'r3255']",
LGB7,DPS1,91202,dim1,2021-05-11 00:10:12,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1247', 'r3366', 'r4326', 'r5046', 'r5686']",
PHX6,DPS3,91364,dim1,2021-05-11 00:10:23,2021-05-12 23:59:59,"['r1966', 'r6103', 'r6292']",
LAS7,DPS1,91030,dim1,2021-05-11 00:10:25,2021-05-12 23:59:59,"['r59', 'r80', 'r734', 'r4397', 'r4957']",
BFL1,DSD2,92056,dim1,2021-05-11 00:10:28,2021-05-12 23:59:59,"['r500', 'r7628', 'r7808']",
BFL1,DSD1,92111,dim1,2021-05-11 00:10:42,2021-05-12 23:59:59,"['r482', 'r6842', 'r7292']",
LAS7,DPS1,91107,dim1,2021-05-11 00:10:50,2021-05-12 23:59:59,"['r59', 'r80', 'r740', 'r4403', 'r4963']",
OAK4,DSD1,92129,dim1,2021-05-11 00:10:55,2021-05-12 23:59:59,"['r34', 'r103', 'r1500', 'r6732', 'r7032', 'r7242', 'r7422']",
OAK4,DLA5,92410,dim1,2021-05-11 00:11:14,2021-05-12 23:59:59,"['r33', 'r63', 'r84', 'r102', 'r1362', 'r2663', 'r2913', 'r3088', 'r3238']",
ONT6,DPS1,91775,dim1,2021-05-11 00:11:15,2021-05-12 23:59:59,"['r1782', 'r3557', 'r5477']",
PHX6,DPS1,90042,dim1,2021-05-11 00:11:22,2021-05-12 23:59:59,"['r1890', 'r4137', 'r4857']",
BFL1,DSD1,92126,dim1,2021-05-11 00:11:28,2021-05-12 23:59:59,"['r489', 'r6849', 'r7299']",
LAS7,DSD1,92123,dim1,2021-05-11 00:11:32,2021-05-12 23:59:59,"['r823', 'r6967', 'r7177']",
LGB7,DLA5,92354,dim1,2021-05-11 00:11:43,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1184', 'r2528', 'r2828', 'r3053', 'r3253']",
LGB3,DLA5,92223,dim1,2021-05-11 00:12:08,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r843', 'r2698', 'r2948']",
LGB3,DLA5,92374,dim1,2021-05-11 00:12:11,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r851', 'r2706', 'r2956']",
BFL1,DSD1,92037,dim1,2021-05-11 00:12:12,2021-05-12 23:59:59,"['r474', 'r6834', 'r7284']",
PSP1,DLA5,92223,dim1,2021-05-11 00:12:13,2021-05-12 23:59:59,"['r27', 'r93', 'r2019', 'r2598', 'r3148']",
LGB3,DPS1,91006,dim1,2021-05-11 00:12:25,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r894', 'r3909', 'r4709']",
LGB3,DSD1,92025,dim1,2021-05-11 00:12:37,2021-05-12 23:59:59,"['r0', 'r13', 'r974', 'r6770', 'r7070']",
LGB7,DSD1,92037,dim1,2021-05-11 00:12:49,2021-05-12 23:59:59,"['r1', 'r17', 'r55', 'r106', 'r1314', 'r6564', 'r6924', 'r7194', 'r7434']",
FAT1,DSD1,92037,dim1,2021-05-11 00:12:52,2021-05-12 23:59:59,"['r642', 'r6984', 'r7464']",
LAS7,DSD1,92122,dim1,2021-05-11 00:12:56,2021-05-12 23:59:59,"['r822', 'r6966', 'r7176']",
PSP1,DSD1,92037,dim1,2021-05-11 00:13:10,2021-05-12 23:59:59,"['r28', 'r94', 'r2154', 'r6654', 'r7314']",
BFL1,DSD1,92111,dim1,2021-05-11 00:13:11,2021-05-12 23:59:59,"['r482', 'r6842', 'r7292']",
PHX6,DPS1,91801,dim1,2021-05-11 00:13:15,2021-05-12 23:59:59,"['r1954', 'r4201', 'r4921']",
PHX6,DPS1,90026,dim1,2021-05-11 00:13:46,2021-05-12 23:59:59,"['r1881', 'r4128', 'r4848']",
LGB7,DLA5,92377,dim1,2021-05-11 00:13:49,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1188', 'r2532', 'r2832', 'r3057', 'r3257']",
TUS2,DLA5,92399,dim1,2021-05-11 00:13:52,2021-05-12 23:59:59,"['r36', 'r66', 'r2365', 'r2683', 'r2933']",
LGB3,DLA5,92324,dim1,2021-05-11 00:14:01,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r846', 'r2701', 'r2951']",
BFL1,DPS1,91770,dim1,2021-05-11 00:14:03,2021-05-12 23:59:59,"['r47', 'r92', 'r437', 'r4116', 'r5316']",
LGB3,DPS1,90026,dim1,2021-05-11 00:14:09,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r873', 'r3888', 'r4688']",
BFL1,DSD1,92111,dim1,2021-05-11 00:14:18,2021-05-12 23:59:59,"['r482', 'r6842', 'r7292']",
SMF1,DPS1,90063,dim1,2021-05-11 00:14:21,2021-05-12 23:59:59,"['r2228', 'r3659', 'r5499']",
PHX6,DSD2,92056,dim1,2021-05-11 00:14:48,2021-05-12 23:59:59,"['r50', 'r77', 'r2012', 'r7640', 'r7748']",
LGB7,DSD2,92054,dim1,2021-05-11 00:14:49,2021-05-12 23:59:59,"['r7', 'r11', 'r56', 'r107', 'r1339', 'r7519', 'r7663', 'r7771', 'r7867']",
FAT1,DLA5,92555,dim1,2021-05-11 00:14:52,2021-05-12 23:59:59,"['r60', 'r108', 'r526', 'r2892', 'r3292']",
ONT2,DSD1,92127,dim1,2021-05-11 00:14:53,2021-05-12 23:59:59,"['r22', 'r112', 'r1666', 'r6610', 'r6910', 'r7270', 'r7510']",
LGB7,DSD1,92037,dim1,2021-05-11 00:14:53,2021-05-12 23:59:59,"['r1', 'r17', 'r55', 'r106', 'r1314', 'r6564', 'r6924', 'r7194', 'r7434']",
LAS7,DPS1,91011,dim1,2021-05-11 00:15:01,2021-05-12 23:59:59,"['r59', 'r80', 'r730', 'r4393', 'r4953']",
LAS7,DPS1,91202,dim1,2021-05-11 00:15:04,2021-05-12 23:59:59,"['r59', 'r80', 'r743', 'r4406', 'r4966']",
FAT1,DPS1,90027,dim1,2021-05-11 00:15:19,2021-05-12 23:59:59,"['r62', 'r110', 'r538', 'r4449', 'r5729']",
ONT6,DPS1,91754,dim1,2021-05-11 00:15:51,2021-05-12 23:59:59,"['r1779', 'r3554', 'r5474']",
PSP1,DPS1,90028,dim1,2021-05-11 00:15:59,2021-05-12 23:59:59,"['r2051', 'r3570', 'r5330']",
TUS2,DLA5,92557,dim1,2021-05-11 00:16:04,2021-05-12 23:59:59,"['r36', 'r66', 'r2375', 'r2693', 'r2943']",
FAT1,DSD1,92129,dim1,2021-05-11 00:16:13,2021-05-12 23:59:59,"['r660', 'r7002', 'r7482']",
LGB3,DLA5,92223,dim1,2021-05-11 00:16:16,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r843', 'r2698', 'r2948']",
PSP1,DPS1,90042,dim1,2021-05-11 00:16:36,2021-05-12 23:59:59,"['r2058', 'r3577', 'r5337']",
PSP1,DPS3,91377,dim1,2021-05-11 00:16:48,2021-05-12 23:59:59,"['r2136', 'r5958', 'r6420']",
FAT1,DSD1,92007,dim1,2021-05-11 00:16:51,2021-05-12 23:59:59,"['r634', 'r6976', 'r7456']",
FAT1,DPS1,90028,dim1,2021-05-11 00:16:58,2021-05-12 23:59:59,"['r62', 'r110', 'r539', 'r4450', 'r5730']",
FAT1,DPS1,91104,dim1,2021-05-11 00:17:01,2021-05-12 23:59:59,"['r62', 'r110', 'r569', 'r4480', 'r5760']",
LGB7,DLA5,92374,dim1,2021-05-11 00:17:02,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1187', 'r2531', 'r2831', 'r3056', 'r3256']",
LGB3,DSD1,92126,dim1,2021-05-11 00:17:11,2021-05-12 23:59:59,"['r0', 'r13', 'r993', 'r6789', 'r7089']",
TUS2,DLA5,92555,dim1,2021-05-11 00:17:16,2021-05-12 23:59:59,"['r36', 'r66', 'r2374', 'r2692', 'r2942']",
BFL1,DLA5,92324,dim1,2021-05-11 00:17:20,2021-05-12 23:59:59,"['r45', 'r90', 'r342', 'r2751', 'r3126']",
LGB7,DLA5,92555,dim1,2021-05-11 00:17:39,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1198', 'r2542', 'r2842', 'r3067', 'r3267']",
PHX6,DSD1,92108,dim1,2021-05-11 00:17:40,2021-05-12 23:59:59,"['r49', 'r76', 'r1993', 'r6871', 'r7141']",
BFL1,DPS1,91706,dim1,2021-05-11 00:17:48,2021-05-12 23:59:59,"['r47', 'r92', 'r427', 'r4106', 'r5306']",
FAT1,DLA5,92346,dim1,2021-05-11 00:17:49,2021-05-12 23:59:59,"['r60', 'r108', 'r511', 'r2877', 'r3277']",
PSP1,DSD2,92056,dim1,2021-05-11 00:18:30,2021-05-12 23:59:59,"['r29', 'r95', 'r2180', 'r7556', 'r7820']",
ONT6,DLA5,92324,dim1,2021-05-11 00:18:33,2021-05-12 23:59:59,"['r24', 'r96', 'r1686', 'r2576', 'r3176']",
TUS2,DLA5,92553,dim1,2021-05-11 00:18:54,2021-05-12 23:59:59,"['r36', 'r66', 'r2373', 'r2691', 'r2941']",
LGB7,DLA5,92410,dim1,2021-05-11 00:19:01,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1194', 'r2538', 'r2838', 'r3063', 'r3263']",
LAS7,DSD1,92130,dim1,2021-05-11 00:19:02,2021-05-12 23:59:59,"['r829', 'r6973', 'r7183']",
PSP1,DPS1,91007,dim1,2021-05-11 00:19:03,2021-05-12 23:59:59,"['r2071', 'r3590', 'r5350']",
TUS2,DLA5,92324,dim1,2021-05-11 00:19:07,2021-05-12 23:59:59,"['r36', 'r66', 'r2358', 'r2676', 'r2926']",
BFL1,DLA5,92354,dim1,2021-05-11 00:19:35,2021-05-12 23:59:59,"['r45', 'r90', 'r344', 'r2753', 'r3128']",
OAK4,DSD2,92011,dim1,2021-05-11 00:19:50,2021-05-12 23:59:59,"['r35', 'r104', 'r1505', 'r7577', 'r7697', 'r7781', 'r7853']",
BFL1,DLA5,92553,dim1,2021-05-11 00:20:00,2021-05-12 23:59:59,"['r45', 'r90', 'r357', 'r2766', 'r3141']",
LGB7,DLA5,92359,dim1,2021-05-11 00:20:00,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1185', 'r2529', 'r2829', 'r3054', 'r3254']",
SMF1,DPS3,91320,dim1,2021-05-11 00:20:11,2021-05-12 23:59:59,"['r2297', 'r5972', 'r6455']",
LGB7,DLA5,92377,dim1,2021-05-11 00:20:19,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1188', 'r2532', 'r2832', 'r3057', 'r3257']",
FAT1,DLA5,92223,dim1,2021-05-11 00:20:19,2021-05-12 23:59:59,"['r60', 'r108', 'r507', 'r2873', 'r3273']",
TUS2,DLA5,92346,dim1,2021-05-11 00:20:25,2021-05-12 23:59:59,"['r36', 'r66', 'r2359', 'r2677', 'r2927']",
PSP1,DPS1,91006,dim1,2021-05-11 00:20:39,2021-05-12 23:59:59,"['r2070', 'r3589', 'r5349']",
LGB7,DPS1,91702,dim1,2021-05-11 00:20:39,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1266', 'r3385', 'r4345', 'r5065', 'r5705']",
SMF1,DSD1,92130,dim1,2021-05-11 00:20:52,2021-05-12 23:59:59,"['r31', 'r100', 'r2341', 'r6703', 'r7393']",
LAS7,DLA5,92571,dim1,2021-05-11 00:20:54,2021-05-12 23:59:59,"['r57', 'r78', 'r697', 'r2870', 'r3045']",
LGB3,DPS1,90013,dim1,2021-05-11 00:21:15,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r869', 'r3884', 'r4684']",
FAT1,DPS1,91733,dim1,2021-05-11 00:21:15,2021-05-12 23:59:59,"['r62', 'r110', 'r600', 'r4511', 'r5791']",
LGB7,DLA5,92324,dim1,2021-05-11 00:21:20,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1182', 'r2526', 'r2826', 'r3051', 'r3251']",
PSP1,DLA5,92571,dim1,2021-05-11 00:21:49,2021-05-12 23:59:59,"['r27', 'r93', 'r2041', 'r2620', 'r3170']",
BFL1,DPS1,91011,dim1,2021-05-11 00:22:01,2021-05-12 23:59:59,"['r47', 'r92', 'r394', 'r4073', 'r5273']",
BFL1,DPS1,91101,dim1,2021-05-11 00:22:04,2021-05-12 23:59:59,"['r47', 'r92', 'r399', 'r4078', 'r5278']",
ONT6,DPS1,91103,dim1,2021-05-11 00:22:10,2021-05-12 23:59:59,"['r1744', 'r3519', 'r5439']",
LGB7,DPS1,90027,dim1,2021-05-11 00:22:16,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1210', 'r3329', 'r4289', 'r5009', 'r5649']",
TUS2,DSD1,92037,dim1,2021-05-11 00:22:16,2021-05-12 23:59:59,"['r37', 'r67', 'r2490', 'r6744', 'r7044']",
FAT1,DPS1,90042,dim1,2021-05-11 00:22:22,2021-05-12 23:59:59,"['r62', 'r110', 'r546', 'r4457', 'r5737']",
PSP1,DPS3,91320,dim1,2021-05-11 00:22:33,2021-05-12 23:59:59,"['r2129', 'r5951', 'r6413']",
BFL1,DPS1,90057,dim1,2021-05-11 00:22:34,2021-05-12 23:59:59,"['r47', 'r92', 'r379', 'r4058', 'r5258']",
LAS7,DPS3,91361,dim1,2021-05-11 00:22:45,2021-05-12 23:59:59,"['r58', 'r79', 'r788', 'r6164', 'r6311']",
BFL1,DPS1,91106,dim1,2021-05-11 00:22:53,2021-05-12 23:59:59,"['r47', 'r92', 'r403', 'r4082', 'r5282']",
TUS2,DLA5,92507,dim1,2021-05-11 00:23:03,2021-05-12 23:59:59,"['r36', 'r66', 'r2372', 'r2690', 'r2940']",
PSP1,DSD1,92127,dim1,2021-05-11 00:23:03,2021-05-12 23:59:59,"['r28', 'r94', 'r2170', 'r6670', 'r7330']",
LGB3,DSD1,92126,dim1,2021-05-11 00:23:08,2021-05-12 23:59:59,"['r0', 'r13', 'r993', 'r6789', 'r7089']",
LGB3,DSD1,92123,dim1,2021-05-11 00:23:21,2021-05-12 23:59:59,"['r0', 'r13', 'r991', 'r6787', 'r7087']",
LAS7,DPS1,91011,dim1,2021-05-11 00:23:26,2021-05-12 23:59:59,"['r59', 'r80', 'r730', 'r4393', 'r4953']",
LGB7,DPS3,91367,dim1,2021-05-11 00:23:32,2021-05-12 23:59:59,"['r19', 'r82', 'r1295', 'r5894', 'r6146', 'r6335', 'r6503']",
LGB3,DSD1,92037,dim1,2021-05-11 00:23:35,2021-05-12 23:59:59,"['r0', 'r13', 'r978', 'r6774', 'r7074']",
LGB3,DPS1,91770,dim1,2021-05-11 00:23:49,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r941', 'r3956', 'r4756']",
LGB7,DSD1,92130,dim1,2021-05-11 00:23:52,2021-05-12 23:59:59,"['r1', 'r17', 'r55', 'r106', 'r1333', 'r6583', 'r6943', 'r7213', 'r7453']",
LAS7,DSD1,92117,dim1,2021-05-11 00:23:55,2021-05-12 23:59:59,"['r819', 'r6963', 'r7173']",
LGB3,DPS1,90026,dim1,2021-05-11 00:24:01,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r873', 'r3888', 'r4688']",
LGB7,DPS1,90640,dim1,2021-05-11 00:24:12,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1228', 'r3347', 'r4307', 'r5027', 'r5667']",
PSP1,DPS1,90065,dim1,2021-05-11 00:24:28,2021-05-12 23:59:59,"['r2061', 'r3580', 'r5340']",
PSP1,DPS1,91706,dim1,2021-05-11 00:24:29,2021-05-12 23:59:59,"['r2107', 'r3626', 'r5386']",
TUS2,DLA5,92223,dim1,2021-05-11 00:24:43,2021-05-12 23:59:59,"['r36', 'r66', 'r2355', 'r2673', 'r2923']",
BFL1,DPS3,91356,dim1,2021-05-11 00:24:46,2021-05-12 23:59:59,"['r2', 'r15', 'r46', 'r91', 'r450', 'r6078', 'r6393']",
LGB3,DSD1,92130,dim1,2021-05-11 00:24:48,2021-05-12 23:59:59,"['r0', 'r13', 'r997', 'r6793', 'r7093']",
