type,resources,fc,ds,ead,first_cpt,base_cost,zipcode,sc,index
amzl_indirect,"['j45', 'j51', 'j18', 'j3']",PSP1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r27
amzl_indirect,"['j45', 'j51', 'j49', 'j6']",PSP1,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r28
amzl_indirect,"['j45', 'j51', 'j50', 'j7']",PSP1,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r29
amzl_indirect,"['j46', 'j51', 'j18', 'j3']",SMF1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r30
amzl_indirect,"['j46', 'j51', 'j49', 'j6']",SMF1,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r31
amzl_indirect,"['j46', 'j51', 'j50', 'j7']",SMF1,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r32
amzl_indirect,"['j41', 'j51', 'j18', 'j3']",OAK4,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r33
amzl_indirect,"['j41', 'j51', 'j49', 'j6']",OAK4,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r34
amzl_indirect,"['j41', 'j51', 'j50', 'j7']",OAK4,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r35
amzl_indirect,"['j47', 'j51', 'j18', 'j3']",TUS2,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r36
amzl_indirect,"['j47', 'j51', 'j49', 'j6']",TUS2,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r37
amzl_indirect,"['j47', 'j51', 'j50', 'j7']",TUS2,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r38
amzl_indirect,"['j17', 'j22', 'j18', 'j3']",LGB3,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r39
amzl_indirect,"['j17', 'j22', 'j20', 'j5']",LGB3,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r40
amzl_indirect,"['j17', 'j22', 'j19', 'j4']",LGB3,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r41
amzl_indirect,"['j24', 'j22', 'j18', 'j3']",LGB6,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r42
amzl_indirect,"['j24', 'j22', 'j20', 'j5']",LGB6,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r43
amzl_indirect,"['j24', 'j22', 'j19', 'j4']",LGB6,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r44
amzl_indirect,"['j2', 'j22', 'j18', 'j3']",BFL1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r45
amzl_indirect,"['j2', 'j22', 'j20', 'j5']",BFL1,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r46
amzl_indirect,"['j2', 'j22', 'j19', 'j4']",BFL1,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r47
amzl_indirect,"['j44', 'j51', 'j18', 'j3']",PHX6,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r48
amzl_indirect,"['j44', 'j51', 'j49', 'j6']",PHX6,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r49
amzl_indirect,"['j44', 'j51', 'j50', 'j7']",PHX6,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r50
amzl_indirect,"['j33', 'j22', 'j18', 'j3']",ONT2,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r51
amzl_indirect,"['j33', 'j22', 'j20', 'j5']",ONT2,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r52
amzl_indirect,"['j33', 'j22', 'j19', 'j4']",ONT2,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r53
amzl_indirect,"['j40', 'j51', 'j18', 'j3']",LGB7,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r54
amzl_indirect,"['j40', 'j51', 'j49', 'j6']",LGB7,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r55
amzl_indirect,"['j40', 'j51', 'j50', 'j7']",LGB7,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r56
amzl_indirect,"['j11', 'j22', 'j18', 'j3']",LAS7,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r57
amzl_indirect,"['j11', 'j22', 'j20', 'j5']",LAS7,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r58
amzl_indirect,"['j11', 'j22', 'j19', 'j4']",LAS7,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r59
amzl_indirect,"['j9', 'j22', 'j18', 'j3']",FAT1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r60
amzl_indirect,"['j9', 'j22', 'j20', 'j5']",FAT1,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r61
amzl_indirect,"['j9', 'j22', 'j19', 'j4']",FAT1,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r62
amzl_indirect,"['j31', 'j22', 'j18', 'j3']",OAK4,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r63
amzl_indirect,"['j31', 'j22', 'j20', 'j5']",OAK4,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r64
amzl_indirect,"['j31', 'j22', 'j19', 'j4']",OAK4,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r65
amzl_indirect,"['j100', 'j104', 'j101', 'j56']",TUS2,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r66
amzl_indirect,"['j100', 'j104', 'j102', 'j59']",TUS2,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r67
amzl_indirect,"['j100', 'j104', 'j103', 'j60']",TUS2,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r68
amzl_indirect,"['j70', 'j75', 'j101', 'j56']",LGB3,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r69
amzl_indirect,"['j70', 'j75', 'j73', 'j58']",LGB3,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r70
amzl_indirect,"['j70', 'j75', 'j72', 'j57']",LGB3,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r71
amzl_indirect,"['j77', 'j75', 'j101', 'j56']",LGB6,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r72
amzl_indirect,"['j77', 'j75', 'j73', 'j58']",LGB6,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r73
amzl_indirect,"['j77', 'j75', 'j72', 'j57']",LGB6,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r74
amzl_indirect,"['j97', 'j104', 'j101', 'j56']",PHX6,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r75
amzl_indirect,"['j97', 'j104', 'j102', 'j59']",PHX6,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r76
amzl_indirect,"['j97', 'j104', 'j103', 'j60']",PHX6,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r77
amzl_indirect,"['j64', 'j75', 'j101', 'j56']",LAS7,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r78
amzl_indirect,"['j64', 'j75', 'j73', 'j58']",LAS7,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r79
amzl_indirect,"['j64', 'j75', 'j72', 'j57']",LAS7,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r80
amzl_indirect,"['j82', 'j75', 'j101', 'j56']",LGB7,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r81
amzl_indirect,"['j82', 'j75', 'j73', 'j58']",LGB7,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r82
amzl_indirect,"['j82', 'j75', 'j72', 'j57']",LGB7,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r83
amzl_indirect,"['j84', 'j75', 'j101', 'j56']",OAK4,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r84
amzl_indirect,"['j84', 'j75', 'j73', 'j58']",OAK4,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r85
amzl_indirect,"['j84', 'j75', 'j72', 'j57']",OAK4,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r86
amzl_indirect,"['j86', 'j75', 'j101', 'j56']",ONT2,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r87
amzl_indirect,"['j86', 'j75', 'j73', 'j58']",ONT2,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r88
amzl_indirect,"['j86', 'j75', 'j72', 'j57']",ONT2,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r89
amzl_indirect,"['j55', 'j75', 'j101', 'j56']",BFL1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r90
amzl_indirect,"['j55', 'j75', 'j73', 'j58']",BFL1,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r91
amzl_indirect,"['j55', 'j75', 'j72', 'j57']",BFL1,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r92
amzl_indirect,"['j98', 'j104', 'j101', 'j56']",PSP1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r93
amzl_indirect,"['j98', 'j104', 'j102', 'j59']",PSP1,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r94
amzl_indirect,"['j98', 'j104', 'j103', 'j60']",PSP1,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r95
amzl_indirect,"['j96', 'j104', 'j101', 'j56']",ONT6,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r96
amzl_indirect,"['j96', 'j104', 'j102', 'j59']",ONT6,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r97
amzl_indirect,"['j96', 'j104', 'j103', 'j60']",ONT6,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r98
amzl_indirect,"['j99', 'j104', 'j101', 'j56']",SMF1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r99
amzl_indirect,"['j99', 'j104', 'j102', 'j59']",SMF1,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r100
amzl_indirect,"['j99', 'j104', 'j103', 'j60']",SMF1,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r101
amzl_indirect,"['j94', 'j104', 'j101', 'j56']",OAK4,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r102
amzl_indirect,"['j94', 'j104', 'j102', 'j59']",OAK4,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r103
amzl_indirect,"['j94', 'j104', 'j103', 'j60']",OAK4,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r104
amzl_indirect,"['j93', 'j104', 'j101', 'j56']",LGB7,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r105
amzl_indirect,"['j93', 'j104', 'j102', 'j59']",LGB7,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r106
amzl_indirect,"['j93', 'j104', 'j103', 'j60']",LGB7,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r107
amzl_indirect,"['j62', 'j75', 'j101', 'j56']",FAT1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r108
amzl_indirect,"['j62', 'j75', 'j73', 'j58']",FAT1,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r109
amzl_indirect,"['j62', 'j75', 'j72', 'j57']",FAT1,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r110
amzl_indirect,"['j95', 'j104', 'j101', 'j56']",ONT2,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r111
amzl_indirect,"['j95', 'j104', 'j102', 'j59']",ONT2,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r112
amzl_indirect,"['j95', 'j104', 'j103', 'j60']",ONT2,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r113
ddu,"['j29', 'j22', 'j21']",LGB7,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r114
ddu,"['j42', 'j51', 'j52']",ONT2,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r115
ddu,"['j43', 'j51', 'j52']",ONT6,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r116
ddu,"['j45', 'j51', 'j52']",PSP1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r117
ddu,"['j46', 'j51', 'j52']",SMF1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r118
ddu,"['j41', 'j51', 'j52']",OAK4,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r119
ddu,"['j47', 'j51', 'j52']",TUS2,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r120
ddu,"['j17', 'j22', 'j21']",LGB3,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r121
ddu,"['j24', 'j22', 'j21']",LGB6,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r122
ddu,"['j2', 'j22', 'j21']",BFL1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r123
ddu,"['j44', 'j51', 'j52']",PHX6,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r124
ddu,"['j33', 'j22', 'j21']",ONT2,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r125
ddu,"['j40', 'j51', 'j52']",LGB7,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r126
ddu,"['j11', 'j22', 'j21']",LAS7,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r127
ddu,"['j9', 'j22', 'j21']",FAT1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r128
ddu,"['j31', 'j22', 'j21']",OAK4,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r129
ddu,"['j100', 'j104', 'j105']",TUS2,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r130
ddu,"['j70', 'j75', 'j74']",LGB3,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r131
ddu,"['j77', 'j75', 'j74']",LGB6,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r132
ddu,"['j97', 'j104', 'j105']",PHX6,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r133
ddu,"['j64', 'j75', 'j74']",LAS7,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r134
ddu,"['j82', 'j75', 'j74']",LGB7,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r135
ddu,"['j84', 'j75', 'j74']",OAK4,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r136
ddu,"['j86', 'j75', 'j74']",ONT2,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r137
ddu,"['j55', 'j75', 'j74']",BFL1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r138
ddu,"['j98', 'j104', 'j105']",PSP1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r139
ddu,"['j96', 'j104', 'j105']",ONT6,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r140
ddu,"['j99', 'j104', 'j105']",SMF1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r141
ddu,"['j94', 'j104', 'j105']",OAK4,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r142
ddu,"['j93', 'j104', 'j105']",LGB7,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r143
ddu,"['j62', 'j75', 'j74']",FAT1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r144
ddu,"['j95', 'j104', 'j105']",ONT2,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r145
ddu,"['j29', 'j22', 'j21']",LGB7,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r146
ddu,"['j42', 'j51', 'j52']",ONT2,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r147
ddu,"['j43', 'j51', 'j52']",ONT6,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r148
ddu,"['j45', 'j51', 'j52']",PSP1,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r149
ddu,"['j46', 'j51', 'j52']",SMF1,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r150
ddu,"['j41', 'j51', 'j52']",OAK4,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r151
ddu,"['j47', 'j51', 'j52']",TUS2,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r152
ddu,"['j17', 'j22', 'j21']",LGB3,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r153
ddu,"['j24', 'j22', 'j21']",LGB6,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r154
ddu,"['j2', 'j22', 'j21']",BFL1,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r155
ddu,"['j44', 'j51', 'j52']",PHX6,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r156
ddu,"['j33', 'j22', 'j21']",ONT2,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r157
ddu,"['j40', 'j51', 'j52']",LGB7,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r158
ddu,"['j11', 'j22', 'j21']",LAS7,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r159
ddu,"['j9', 'j22', 'j21']",FAT1,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r160
ddu,"['j31', 'j22', 'j21']",OAK4,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r161
ddu,"['j100', 'j104', 'j105']",TUS2,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r162
ddu,"['j70', 'j75', 'j74']",LGB3,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r163
ddu,"['j77', 'j75', 'j74']",LGB6,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r164
ddu,"['j97', 'j104', 'j105']",PHX6,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r165
ddu,"['j64', 'j75', 'j74']",LAS7,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r166
ddu,"['j82', 'j75', 'j74']",LGB7,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r167
ddu,"['j84', 'j75', 'j74']",OAK4,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r168
ddu,"['j86', 'j75', 'j74']",ONT2,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r169
ddu,"['j55', 'j75', 'j74']",BFL1,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r170
ddu,"['j98', 'j104', 'j105']",PSP1,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r171
ddu,"['j96', 'j104', 'j105']",ONT6,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r172
ddu,"['j99', 'j104', 'j105']",SMF1,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r173
ddu,"['j94', 'j104', 'j105']",OAK4,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r174
ddu,"['j93', 'j104', 'j105']",LGB7,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r175
ddu,"['j62', 'j75', 'j74']",FAT1,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LGB5,r176
ddu,"['j95', 'j104', 'j105']",ONT2,DPS1,2021-05-12 15:00:01,2021-05-12 05:00:00,2.46,00000,LAX5,r177
ddu,"['j29', 'j22', 'j21']",LGB7,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LGB5,r178
ddu,"['j42', 'j51', 'j52']",ONT2,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r179
ddu,"['j43', 'j51', 'j52']",ONT6,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r180
ddu,"['j45', 'j51', 'j52']",PSP1,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r181
ddu,"['j46', 'j51', 'j52']",SMF1,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r182
ddu,"['j41', 'j51', 'j52']",OAK4,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r183
ddu,"['j47', 'j51', 'j52']",TUS2,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r184
ddu,"['j17', 'j22', 'j21']",LGB3,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LGB5,r185
ddu,"['j24', 'j22', 'j21']",LGB6,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LGB5,r186
ddu,"['j2', 'j22', 'j21']",BFL1,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LGB5,r187
ddu,"['j44', 'j51', 'j52']",PHX6,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LAX5,r188
ddu,"['j33', 'j22', 'j21']",ONT2,DPS3,2021-05-11 15:00:01,2021-05-11 05:00:00,2.96,00000,LGB5,r189
