fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route,resource_caps_of_assigned_route,route_cost_map,type,base_cost
BFL1,DPS3,91356,dim1,2021-05-11 00:02:25,2021-05-12 23:59:59,['r2' 'r15' 'r46' 'r91' 'r450' 'r6078' 'r6393'],r2,"{'j5': 183, 'j0': 7}","{'r2': 2.35, 'r15': 2.35, 'r46': 2.35, 'r91': 2.35, 'r450': 2.98, 'r6078': 4.03, 'r6393': 4.03}",amzl_direct,1.0
ONT6,DPS1,91706,dim1,2021-05-11 00:02:30,2021-05-12 23:59:59,['r1771' 'r3546' 'r5466'],r1771,{},"{'r1771': 2.45, 'r3546': 2.48, 'r5466': 2.48}",3p,2.45
LGB7,DSD2,92056,dim1,2021-05-11 00:02:35,2021-05-12 23:59:59,['r7' 'r11' 'r56' 'r107' 'r1340' 'r7520' 'r7664' 'r7772' 'r7868'],r7,"{'j7': 119, 'j27': 3}","{'r7': 1.19, 'r11': 1.19, 'r56': 1.19, 'r107': 1.19, 'r1340': 2.65, 'r7520': 3.8, 'r7664': 2.83, 'r7772': 3.8, 'r7868': 2.83}",amzl_direct,1.0
LGB3,DLA5,92404,dim1,2021-05-11 00:02:38,2021-05-12 23:59:59,['r3' 'r16' 'r39' 'r69' 'r854' 'r2709' 'r2959'],r854,{},"{'r3': 2.22, 'r16': 2.22, 'r39': 2.22, 'r69': 2.22, 'r854': 2.19, 'r2709': 2.25, 'r2959': 2.25}",3p,2.19
LGB3,DPS1,90017,dim1,2021-05-11 00:02:40,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r871' 'r3886' 'r4686'],r5,"{'j4': 854, 'j13': 44}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r871': 2.41, 'r3886': 2.78, 'r4686': 2.78}",amzl_direct,1.0
PSP1,DPS1,91206,dim1,2021-05-11 00:02:48,2021-05-12 23:59:59,['r2091' 'r3610' 'r5370'],r3610,"{'j52': 11492, 'j45': 226, 'j51': 913}","{'r2091': 2.72, 'r3610': 2.72, 'r5370': 2.72}",ddu,2.22
PHX6,DPS3,91367,dim1,2021-05-11 00:03:00,2021-05-12 23:59:59,['r1967' 'r6104' 'r6293'],r6104,"{'j52': 11491, 'j44': 48, 'j51': 912}","{'r1967': 5.73, 'r6104': 5.32, 'r6293': 5.58}",ddu,2.41
PHX6,DPS1,90012,dim1,2021-05-11 00:03:08,2021-05-12 23:59:59,['r1876' 'r4123' 'r4843'],r4123,"{'j52': 11490, 'j44': 47, 'j51': 911}","{'r1876': 5.5, 'r4123': 5.09, 'r4843': 5.35}",ddu,2.18
TUS2,DPS1,91702,dim1,2021-05-11 00:03:14,2021-05-12 23:59:59,['r2442' 'r3865' 'r4665'],r3865,"{'j52': 11489, 'j47': 103, 'j51': 910}","{'r2442': 6.36, 'r3865': 6.05, 'r4665': 6.05}",ddu,2.15
TUS2,DLA5,92407,dim1,2021-05-11 00:03:16,2021-05-12 23:59:59,['r36' 'r66' 'r2368' 'r2686' 'r2936'],r36,"{'j3': 474, 'j47': 102, 'j51': 909, 'j18': 183}","{'r36': 5.92, 'r66': 5.92, 'r2368': 6.08, 'r2686': 6.29, 'r2936': 6.29}",amzl_indirect,1.0
PSP1,DPS1,91001,dim1,2021-05-11 00:03:21,2021-05-12 23:59:59,['r2069' 'r3588' 'r5348'],r2069,{},"{'r2069': 2.68, 'r3588': 2.71, 'r5348': 2.71}",3p,2.68
LGB7,DPS3,90265,dim1,2021-05-11 00:03:32,2021-05-12 23:59:59,['r19' 'r82' 'r1284' 'r5883' 'r6135' 'r6324' 'r6492'],r19,"{'j5': 182, 'j29': 99, 'j22': 919, 'j20': 142}","{'r19': 2.24, 'r82': 2.24, 'r1284': 2.81, 'r5883': 4.08, 'r6135': 2.68, 'r6324': 4.08, 'r6492': 2.68}",amzl_indirect,1.0
PSP1,DSD1,92007,dim1,2021-05-11 00:03:35,2021-05-12 23:59:59,['r28' 'r94' 'r2146' 'r6646' 'r7306'],r28,"{'j6': 431, 'j45': 225, 'j51': 908, 'j49': 336}","{'r28': 1.5, 'r94': 1.5, 'r2146': 2.64, 'r6646': 3.24, 'r7306': 3.24}",amzl_indirect,1.0
PSP1,DPS1,91770,dim1,2021-05-11 00:03:38,2021-05-12 23:59:59,['r2117' 'r3636' 'r5396'],r3636,"{'j52': 11488, 'j45': 224, 'j51': 907}","{'r2117': 2.63, 'r3636': 2.62, 'r5396': 2.62}",ddu,2.12
LGB3,DPS3,91356,dim1,2021-05-11 00:03:43,2021-05-12 23:59:59,['r8' 'r10' 'r40' 'r70' 'r954' 'r6036' 'r6246'],r8,"{'j5': 181, 'j14': 8}","{'r8': 1.26, 'r10': 1.26, 'r40': 1.26, 'r70': 1.26, 'r954': 2.58, 'r6036': 2.94, 'r6246': 2.94}",amzl_direct,1.0
LGB3,DSD1,92078,dim1,2021-05-11 00:03:44,2021-05-12 23:59:59,['r0' 'r13' 'r981' 'r6777' 'r7077'],r981,{},"{'r0': 2.82, 'r13': 2.82, 'r981': 2.65, 'r6777': 2.86, 'r7077': 2.86}",3p,2.65
LGB3,DPS1,91775,dim1,2021-05-11 00:03:45,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r942' 'r3957' 'r4757'],r5,"{'j4': 853, 'j13': 43}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r942': 2.32, 'r3957': 2.68, 'r4757': 2.68}",amzl_direct,1.0
BFL1,DLA5,92399,dim1,2021-05-11 00:03:48,2021-05-12 23:59:59,['r45' 'r90' 'r349' 'r2758' 'r3133'],r45,"{'j3': 473, 'j2': 141, 'j22': 918, 'j18': 182}","{'r45': 3.31, 'r90': 3.31, 'r349': 3.5, 'r2758': 3.42, 'r3133': 3.42}",amzl_indirect,1.0
LGB3,DLA5,92377,dim1,2021-05-11 00:04:14,2021-05-12 23:59:59,['r3' 'r16' 'r39' 'r69' 'r852' 'r2707' 'r2957'],r852,{},"{'r3': 2.22, 'r16': 2.22, 'r39': 2.22, 'r69': 2.22, 'r852': 2.14, 'r2707': 2.29, 'r2957': 2.29}",3p,2.14
TUS2,DPS1,91803,dim1,2021-05-11 00:04:15,2021-05-12 23:59:59,['r2459' 'r3882' 'r4682'],r3882,"{'j52': 11487, 'j47': 101, 'j51': 906}","{'r2459': 6.49, 'r3882': 6.05, 'r4682': 6.05}",ddu,2.15
LGB7,DPS1,91010,dim1,2021-05-11 00:04:29,2021-05-12 23:59:59,['r4' 'r9' 'r20' 'r83' 'r1233' 'r3352' 'r4312' 'r5032' 'r5672'],r4,"{'j4': 852, 'j25': 20}","{'r4': 2.22, 'r9': 2.22, 'r20': 2.22, 'r83': 2.22, 'r1233': 2.33, 'r3352': 3.6, 'r4312': 2.34, 'r5032': 3.6, 'r5672': 2.34}",amzl_direct,1.0
PSP1,DPS1,90028,dim1,2021-05-11 00:04:49,2021-05-12 23:59:59,['r2051' 'r3570' 'r5330'],r3570,"{'j52': 11486, 'j45': 223, 'j51': 905}","{'r2051': 2.77, 'r3570': 2.74, 'r5330': 2.74}",ddu,2.24
SMF1,DPS1,91030,dim1,2021-05-11 00:05:03,2021-05-12 23:59:59,['r2246' 'r3677' 'r5517'],r3677,"{'j52': 11485, 'j46': 75, 'j51': 904}","{'r2246': 5.67, 'r3677': 5.61, 'r5517': 5.63}",ddu,2.17
BFL1,DSD1,92129,dim1,2021-05-11 00:05:06,2021-05-12 23:59:59,['r492' 'r6852' 'r7302'],r492,{},"{'r492': 4.06, 'r6852': 4.07, 'r7302': 4.07}",3p,4.06
LGB7,DSD1,92122,dim1,2021-05-11 00:05:10,2021-05-12 23:59:59,['r1' 'r17' 'r55' 'r106' 'r1326' 'r6576' 'r6936' 'r7206' 'r7446'],r1,"{'j6': 430, 'j26': 12}","{'r1': 1.19, 'r17': 1.19, 'r55': 1.19, 'r106': 1.19, 'r1326': 2.89, 'r6576': 4.04, 'r6936': 3.05, 'r7206': 4.04, 'r7446': 3.05}",amzl_direct,1.0
LGB7,DLA5,92553,dim1,2021-05-11 00:05:32,2021-05-12 23:59:59,['r18' 'r54' 'r81' 'r105' 'r1197' 'r2541' 'r2841' 'r3066' 'r3266'],r1197,{},"{'r18': 3.21, 'r54': 2.21, 'r81': 3.21, 'r105': 2.21, 'r1197': 2.17, 'r2541': 3.3, 'r2841': 2.6, 'r3066': 3.3, 'r3266': 2.6}",3p,2.17
OAK4,DSD1,92127,dim1,2021-05-11 00:05:37,2021-05-12 23:59:59,['r34' 'r103' 'r1498' 'r6730' 'r7030' 'r7240' 'r7420'],r34,"{'j6': 429, 'j41': 37, 'j51': 903, 'j49': 335}","{'r34': 4.01, 'r103': 4.41, 'r1498': 6.06, 'r6730': 5.8, 'r7030': 6.75, 'r7240': 6.75, 'r7420': 6.2}",amzl_indirect,1.0
FAT1,DPS1,90601,dim1,2021-05-11 00:05:39,2021-05-12 23:59:59,['r62' 'r110' 'r551' 'r4462' 'r5742'],r62,"{'j4': 851, 'j9': 134, 'j22': 917, 'j19': 667}","{'r62': 3.23, 'r110': 3.23, 'r551': 4.1, 'r4462': 4.64, 'r5742': 4.64}",amzl_indirect,1.0
BFL1,DPS1,91105,dim1,2021-05-11 00:05:43,2021-05-12 23:59:59,['r47' 'r92' 'r402' 'r4081' 'r5281'],r47,"{'j4': 850, 'j2': 140, 'j22': 916, 'j19': 666}","{'r47': 2.33, 'r92': 2.33, 'r402': 3.06, 'r4081': 3.81, 'r5281': 3.81}",amzl_indirect,1.0
ONT6,DSD2,92058,dim1,2021-05-11 00:05:46,2021-05-12 23:59:59,['r26' 'r98' 'r1846' 'r7546' 'r7834'],r26,"{'j7': 118, 'j43': 65, 'j51': 902, 'j50': 92}","{'r26': 1.37, 'r98': 1.37, 'r1846': 2.63, 'r7546': 3.27, 'r7834': 3.27}",amzl_indirect,1.0
LGB7,DPS1,90032,dim1,2021-05-11 00:05:46,2021-05-12 23:59:59,['r4' 'r9' 'r20' 'r83' 'r1214' 'r3333' 'r4293' 'r5013' 'r5653'],r4,"{'j4': 849, 'j25': 19}","{'r4': 2.22, 'r9': 2.22, 'r20': 2.22, 'r83': 2.22, 'r1214': 2.45, 'r3333': 3.71, 'r4293': 2.35, 'r5013': 3.71, 'r5653': 2.35}",amzl_direct,1.0
LGB3,DPS1,90028,dim1,2021-05-11 00:05:54,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r875' 'r3890' 'r4690'],r5,"{'j4': 848, 'j13': 42}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r875': 2.45, 'r3890': 2.81, 'r4690': 2.81}",amzl_direct,1.0
PSP1,DSD1,92117,dim1,2021-05-11 00:06:05,2021-05-12 23:59:59,['r28' 'r94' 'r2163' 'r6663' 'r7323'],r28,"{'j6': 428, 'j45': 222, 'j51': 901, 'j49': 334}","{'r28': 1.5, 'r94': 1.5, 'r2163': 2.77, 'r6663': 3.38, 'r7323': 3.38}",amzl_indirect,1.0
FAT1,DSD1,92037,dim1,2021-05-11 00:06:10,2021-05-12 23:59:59,['r642' 'r6984' 'r7464'],r642,{},"{'r642': 5.02, 'r6984': 5.05, 'r7464': 5.05}",3p,5.02
LGB3,DPS1,91104,dim1,2021-05-11 00:06:11,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r905' 'r3920' 'r4720'],r5,"{'j4': 847, 'j13': 41}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r905': 2.35, 'r3920': 2.7, 'r4720': 2.7}",amzl_direct,1.0
BFL1,DPS1,91801,dim1,2021-05-11 00:06:14,2021-05-12 23:59:59,['r47' 'r92' 'r442' 'r4121' 'r5321'],r47,"{'j4': 846, 'j2': 139, 'j22': 915, 'j19': 665}","{'r47': 2.33, 'r92': 2.33, 'r442': 3.1, 'r4121': 3.79, 'r5321': 3.79}",amzl_indirect,1.0
LGB7,DSD2,92028,dim1,2021-05-11 00:06:21,2021-05-12 23:59:59,['r7' 'r11' 'r56' 'r107' 'r1338' 'r7518' 'r7662' 'r7770' 'r7866'],r7,"{'j7': 117, 'j27': 2}","{'r7': 1.19, 'r11': 1.19, 'r56': 1.19, 'r107': 1.19, 'r1338': 2.53, 'r7518': 3.67, 'r7662': 2.77, 'r7770': 3.67, 'r7866': 2.77}",amzl_direct,1.0
PSP1,DSD1,92124,dim1,2021-05-11 00:06:33,2021-05-12 23:59:59,['r28' 'r94' 'r2168' 'r6668' 'r7328'],r28,"{'j6': 427, 'j45': 221, 'j51': 900, 'j49': 333}","{'r28': 1.5, 'r94': 1.5, 'r2168': 2.76, 'r6668': 3.41, 'r7328': 3.41}",amzl_indirect,1.0
LGB7,DPS1,91776,dim1,2021-05-11 00:06:40,2021-05-12 23:59:59,['r4' 'r9' 'r20' 'r83' 'r1279' 'r3398' 'r4358' 'r5078' 'r5718'],r4,"{'j4': 845, 'j25': 18}","{'r4': 2.22, 'r9': 2.22, 'r20': 2.22, 'r83': 2.22, 'r1279': 2.4, 'r3398': 3.67, 'r4358': 2.33, 'r5078': 3.67, 'r5718': 2.33}",amzl_direct,1.0
ONT2,DPS3,91356,dim1,2021-05-11 00:06:40,2021-05-12 23:59:59,['r52' 'r88' 'r1626' 'r5910' 'r6120' 'r6372' 'r6540'],r52,"{'j5': 180, 'j33': 30, 'j22': 914, 'j20': 141}","{'r52': 2.48, 'r88': 2.51, 'r1626': 2.74, 'r5910': 2.7, 'r6120': 4.16, 'r6372': 4.19, 'r6540': 2.73}",amzl_indirect,1.0
PSP1,DSD1,92111,dim1,2021-05-11 00:06:53,2021-05-12 23:59:59,['r28' 'r94' 'r2162' 'r6662' 'r7322'],r28,"{'j6': 426, 'j45': 220, 'j51': 899, 'j49': 332}","{'r28': 1.5, 'r94': 1.5, 'r2162': 2.78, 'r6662': 3.4, 'r7322': 3.4}",amzl_indirect,1.0
LGB3,DSD1,92007,dim1,2021-05-11 00:06:58,2021-05-12 23:59:59,['r0' 'r13' 'r970' 'r6766' 'r7066'],r970,{},"{'r0': 2.82, 'r13': 2.82, 'r970': 2.69, 'r6766': 2.93, 'r7066': 2.93}",3p,2.69
ONT2,DPS1,90041,dim1,2021-05-11 00:07:16,2021-05-12 23:59:59,['r53' 'r89' 'r1553' 'r3416' 'r4216' 'r5176' 'r5816'],r53,"{'j4': 844, 'j33': 29, 'j22': 913, 'j19': 664}","{'r53': 2.46, 'r89': 2.49, 'r1553': 2.55, 'r3416': 2.53, 'r4216': 3.96, 'r5176': 3.99, 'r5816': 2.56}",amzl_indirect,1.0
TUS2,DPS1,91755,dim1,2021-05-11 00:07:17,2021-05-12 23:59:59,['r2452' 'r3875' 'r4675'],r3875,"{'j52': 11484, 'j47': 100, 'j51': 898}","{'r2452': 6.47, 'r3875': 6.03, 'r4675': 6.03}",ddu,2.13
ONT2,DPS1,91030,dim1,2021-05-11 00:07:21,2021-05-12 23:59:59,['r53' 'r89' 'r1574' 'r3437' 'r4237' 'r5197' 'r5837'],r53,"{'j4': 843, 'j33': 28, 'j22': 912, 'j19': 663}","{'r53': 2.46, 'r89': 2.49, 'r1574': 2.52, 'r3437': 2.5, 'r4237': 3.93, 'r5197': 3.96, 'r5837': 2.53}",amzl_indirect,1.0
OAK4,DPS3,91301,dim1,2021-05-11 00:07:30,2021-05-12 23:59:59,['r64' 'r85' 'r1454' 'r5990' 'r6200' 'r6347' 'r6473'],r1454,{},"{'r64': 5.07, 'r85': 5.07, 'r1454': 4.9, 'r5990': 5.49, 'r6200': 6.87, 'r6347': 6.87, 'r6473': 5.89}",3p,4.9
ONT2,DSD1,92117,dim1,2021-05-11 00:07:53,2021-05-12 23:59:59,['r22' 'r112' 'r1659' 'r6603' 'r6903' 'r7263' 'r7503'],r22,"{'j6': 425, 'j42': 30, 'j51': 897, 'j49': 331}","{'r22': 1.33, 'r112': 1.36, 'r1659': 2.87, 'r6603': 3.21, 'r6903': 4.29, 'r7263': 4.32, 'r7503': 3.24}",amzl_indirect,1.0
LGB3,DPS1,91702,dim1,2021-05-11 00:08:00,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r930' 'r3945' 'r4745'],r5,"{'j4': 842, 'j13': 40}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r930': 2.22, 'r3945': 2.57, 'r4745': 2.57}",amzl_direct,1.0
OAK4,DPS1,91016,dim1,2021-05-11 00:08:10,2021-05-12 23:59:59,['r65' 'r86' 'r1403' 'r3754' 'r4554' 'r5114' 'r5594'],r65,"{'j4': 841, 'j31': 37, 'j22': 911, 'j19': 662}","{'r65': 5.05, 'r86': 5.05, 'r1403': 5.13, 'r3754': 5.16, 'r4554': 6.44, 'r5114': 6.44, 'r5594': 5.56}",amzl_indirect,1.0
LAS7,DPS3,91377,dim1,2021-05-11 00:08:11,2021-05-12 23:59:59,['r58' 'r79' 'r792' 'r6168' 'r6315'],r58,"{'j5': 179, 'j11': 129, 'j22': 910, 'j20': 140}","{'r58': 2.94, 'r79': 2.94, 'r792': 4.55, 'r6168': 4.75, 'r6315': 4.75}",amzl_indirect,1.0
PSP1,DPS1,91104,dim1,2021-05-11 00:08:13,2021-05-12 23:59:59,['r2081' 'r3600' 'r5360'],r2081,{},"{'r2081': 2.67, 'r3600': 2.69, 'r5360': 2.69}",3p,2.67
LGB3,DPS1,91103,dim1,2021-05-11 00:08:14,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r904' 'r3919' 'r4719'],r5,"{'j4': 840, 'j13': 39}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r904': 2.37, 'r3919': 2.72, 'r4719': 2.72}",amzl_direct,1.0
FAT1,DPS3,91301,dim1,2021-05-11 00:08:19,2021-05-12 23:59:59,['r61' 'r109' 'r614' 'r6179' 'r6515'],r61,"{'j5': 178, 'j9': 133, 'j22': 909, 'j20': 139}","{'r61': 3.25, 'r109': 3.25, 'r614': 3.85, 'r6179': 5.05, 'r6515': 5.05}",amzl_indirect,1.0
SMF1,DPS1,90022,dim1,2021-05-11 00:08:21,2021-05-12 23:59:59,['r2216' 'r3647' 'r5487'],r3647,"{'j52': 11483, 'j46': 74, 'j51': 896}","{'r2216': 5.73, 'r3647': 5.57, 'r5487': 5.59}",ddu,2.13
PSP1,DSD1,92117,dim1,2021-05-11 00:08:25,2021-05-12 23:59:59,['r28' 'r94' 'r2163' 'r6663' 'r7323'],r28,"{'j6': 424, 'j45': 219, 'j51': 895, 'j49': 330}","{'r28': 1.5, 'r94': 1.5, 'r2163': 2.77, 'r6663': 3.38, 'r7323': 3.38}",amzl_indirect,1.0
LGB3,DLA5,92346,dim1,2021-05-11 00:08:36,2021-05-12 23:59:59,['r3' 'r16' 'r39' 'r69' 'r847' 'r2702' 'r2952'],r3,"{'j3': 472, 'j12': 18}","{'r3': 2.22, 'r16': 2.22, 'r39': 2.22, 'r69': 2.22, 'r847': 2.22, 'r2702': 2.25, 'r2952': 2.25}",amzl_direct,1.0
LGB3,DSD1,92130,dim1,2021-05-11 00:08:46,2021-05-12 23:59:59,['r0' 'r13' 'r997' 'r6793' 'r7093'],r997,{},"{'r0': 2.82, 'r13': 2.82, 'r997': 2.75, 'r6793': 2.98, 'r7093': 2.98}",3p,2.75
FAT1,DPS1,90065,dim1,2021-05-11 00:09:05,2021-05-12 23:59:59,['r62' 'r110' 'r549' 'r4460' 'r5740'],r62,"{'j4': 839, 'j9': 132, 'j22': 908, 'j19': 661}","{'r62': 3.23, 'r110': 3.23, 'r549': 3.98, 'r4460': 4.74, 'r5740': 4.74}",amzl_indirect,1.0
LGB3,DSD1,92129,dim1,2021-05-11 00:09:18,2021-05-12 23:59:59,['r0' 'r13' 'r996' 'r6792' 'r7092'],r996,{},"{'r0': 2.82, 'r13': 2.82, 'r996': 2.76, 'r6792': 2.98, 'r7092': 2.98}",3p,2.76
FAT1,DLA5,92324,dim1,2021-05-11 00:09:48,2021-05-12 23:59:59,['r60' 'r108' 'r510' 'r2876' 'r3276'],r60,"{'j3': 471, 'j9': 131, 'j22': 907, 'j18': 181}","{'r60': 4.21, 'r108': 4.21, 'r510': 4.28, 'r2876': 4.23, 'r3276': 4.23}",amzl_indirect,1.0
LGB7,DLA5,92373,dim1,2021-05-11 00:10:08,2021-05-12 23:59:59,['r18' 'r54' 'r81' 'r105' 'r1186' 'r2530' 'r2830' 'r3055' 'r3255'],r1186,{},"{'r18': 3.21, 'r54': 2.21, 'r81': 3.21, 'r105': 2.21, 'r1186': 2.14, 'r2530': 3.25, 'r2830': 2.65, 'r3055': 3.25, 'r3255': 2.65}",3p,2.14
LGB7,DPS1,91202,dim1,2021-05-11 00:10:12,2021-05-12 23:59:59,['r4' 'r9' 'r20' 'r83' 'r1247' 'r3366' 'r4326' 'r5046' 'r5686'],r4,"{'j4': 838, 'j25': 17}","{'r4': 2.22, 'r9': 2.22, 'r20': 2.22, 'r83': 2.22, 'r1247': 2.5, 'r3366': 3.77, 'r4326': 2.43, 'r5046': 3.77, 'r5686': 2.43}",amzl_direct,1.0
PHX6,DPS3,91364,dim1,2021-05-11 00:10:23,2021-05-12 23:59:59,['r1966' 'r6103' 'r6292'],r6103,"{'j52': 11482, 'j44': 46, 'j51': 894}","{'r1966': 5.72, 'r6103': 5.31, 'r6292': 5.57}",ddu,2.4
LAS7,DPS1,91030,dim1,2021-05-11 00:10:25,2021-05-12 23:59:59,['r59' 'r80' 'r734' 'r4397' 'r4957'],r59,"{'j4': 837, 'j11': 128, 'j22': 906, 'j19': 660}","{'r59': 2.92, 'r80': 2.92, 'r734': 4.3, 'r4397': 4.39, 'r4957': 4.39}",amzl_indirect,1.0
BFL1,DSD2,92056,dim1,2021-05-11 00:10:28,2021-05-12 23:59:59,['r500' 'r7628' 'r7808'],r500,{},"{'r500': 3.88, 'r7628': 3.9, 'r7808': 3.9}",3p,3.88
BFL1,DSD1,92111,dim1,2021-05-11 00:10:42,2021-05-12 23:59:59,['r482' 'r6842' 'r7292'],r482,{},"{'r482': 4.14, 'r6842': 4.17, 'r7292': 4.17}",3p,4.14
LAS7,DPS1,91107,dim1,2021-05-11 00:10:50,2021-05-12 23:59:59,['r59' 'r80' 'r740' 'r4403' 'r4963'],r59,"{'j4': 836, 'j11': 127, 'j22': 905, 'j19': 659}","{'r59': 2.92, 'r80': 2.92, 'r740': 4.26, 'r4403': 4.36, 'r4963': 4.36}",amzl_indirect,1.0
OAK4,DSD1,92129,dim1,2021-05-11 00:10:55,2021-05-12 23:59:59,['r34' 'r103' 'r1500' 'r6732' 'r7032' 'r7242' 'r7422'],r34,"{'j6': 423, 'j41': 36, 'j51': 893, 'j49': 329}","{'r34': 4.01, 'r103': 4.41, 'r1500': 6.09, 'r6732': 5.83, 'r7032': 6.79, 'r7242': 6.79, 'r7422': 6.23}",amzl_indirect,1.0
